horizon,secid,param_id,fold_id,train_rows,validation_rows,validation_first_date,validation_last_date,max_depth,min_samples_leaf,max_thresholds,normalize_etc,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,true_positive_share,predicted_positive_share,tp,tn,fp,fn
1,IMOEX,25,0,999.0,251.0,2019-03-04,2020-03-02,4,10,16,False,0.46613545816733065,0.46348096348096346,0.5348837209302325,0.4825174825174825,0.5073529411764706,0.5697211155378487,0.5139442231075697,69.0,48.0,60.0,74.0
1,IMOEX,25,1,1503.0,251.0,2021-03-05,2022-03-25,4,10,16,False,0.49800796812749004,0.47373989996152366,0.532258064516129,0.717391304347826,0.6111111111111109,0.549800796812749,0.7410358565737052,99.0,26.0,87.0,39.0
1,IMOEX,25,2,2007.0,193.0,2023-03-29,2023-12-27,4,10,16,False,0.533678756476684,0.5277777777777778,0.6310679611650486,0.5555555555555556,0.5909090909090909,0.6062176165803109,0.533678756476684,65.0,38.0,38.0,52.0
1,IMOEX,25,mean,,,,,4,10,16,False,0.4992740609238349,0.488332880406755,,,,,,,,,
1,IMOEX,26,0,999.0,251.0,2019-03-04,2020-03-02,4,20,8,False,0.50199203187251,0.5006151256151257,0.5703125,0.5104895104895105,0.5387453874538746,0.5697211155378487,0.5099601593625498,73.0,53.0,55.0,70.0
1,IMOEX,26,1,1503.0,251.0,2021-03-05,2022-03-25,4,20,8,False,0.5179282868525896,0.5054828780300116,0.554140127388535,0.6304347826086957,0.5898305084745763,0.549800796812749,0.6254980079681275,87.0,43.0,70.0,51.0
1,IMOEX,26,2,2007.0,193.0,2023-03-29,2023-12-27,4,20,8,False,0.5440414507772021,0.5017431399010346,0.6074074074074074,0.7008547008547008,0.6507936507936508,0.6062176165803109,0.6994818652849741,82.0,23.0,53.0,35.0
1,IMOEX,26,mean,,,,,4,20,8,False,0.5213205898341006,0.5026137145153906,,,,,,,,,
1,IMOEX,27,0,999.0,251.0,2019-03-04,2020-03-02,4,20,16,False,0.46613545816733065,0.46348096348096346,0.5348837209302325,0.4825174825174825,0.5073529411764706,0.5697211155378487,0.5139442231075697,69.0,48.0,60.0,74.0
1,IMOEX,27,1,1503.0,251.0,2021-03-05,2022-03-25,4,20,16,False,0.49800796812749004,0.47373989996152366,0.532258064516129,0.717391304347826,0.6111111111111109,0.549800796812749,0.7410358565737052,99.0,26.0,87.0,39.0
1,IMOEX,27,2,2007.0,193.0,2023-03-29,2023-12-27,4,20,16,False,0.533678756476684,0.5277777777777778,0.6310679611650486,0.5555555555555556,0.5909090909090909,0.6062176165803109,0.533678756476684,65.0,38.0,38.0,52.0
1,IMOEX,27,mean,,,,,4,20,16,False,0.4992740609238349,0.488332880406755,,,,,,,,,
1,IMOEX,28,0,999.0,251.0,2019-03-04,2020-03-02,4,50,8,False,0.4820717131474104,0.4876651126651127,0.5565217391304348,0.44755244755244755,0.4961240310077519,0.5697211155378487,0.4581673306772908,64.0,57.0,51.0,79.0
1,IMOEX,28,1,1503.0,251.0,2021-03-05,2022-03-25,4,50,8,False,0.5179282868525896,0.5054828780300116,0.554140127388535,0.6304347826086957,0.5898305084745763,0.549800796812749,0.6254980079681275,87.0,43.0,70.0,51.0
1,IMOEX,28,2,2007.0,193.0,2023-03-29,2023-12-27,4,50,8,False,0.5440414507772021,0.5017431399010346,0.6074074074074074,0.7008547008547008,0.6507936507936508,0.6062176165803109,0.6994818652849741,82.0,23.0,53.0,35.0
1,IMOEX,28,mean,,,,,4,50,8,False,0.5146804835924007,0.4982970435320529,,,,,,,,,
1,IMOEX,29,0,999.0,251.0,2019-03-04,2020-03-02,4,50,16,False,0.450199203187251,0.45516058016058014,0.5217391304347826,0.4195804195804196,0.46511627906976744,0.5697211155378487,0.4581673306772908,60.0,53.0,55.0,83.0
1,IMOEX,29,1,1503.0,251.0,2021-03-05,2022-03-25,4,50,16,False,0.49800796812749004,0.47373989996152366,0.532258064516129,0.717391304347826,0.6111111111111109,0.549800796812749,0.7410358565737052,99.0,26.0,87.0,39.0
1,IMOEX,29,2,2007.0,193.0,2023-03-29,2023-12-27,4,50,16,False,0.533678756476684,0.5277777777777778,0.6310679611650486,0.5555555555555556,0.5909090909090909,0.6062176165803109,0.533678756476684,65.0,38.0,38.0,52.0
