secid,date,future_date,close,future_close,future_return,target_up,horizon,model,predicted_return,predicted_close,predicted_up,position,position_change,transaction_cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity,cost_bps
RTSI,2025-12-03,2025-12-10,1071.57,1100.22,0.0267364707858563,1,5,LastHorizonReturn,0.0018980122295566,1073.603852964826,1,1,0,0.0,0.0267364707858563,0.0267364707858563,1.025143310035078,1.0252343589839188,5.0
RTSI,2025-12-10,2025-12-17,1100.22,1081.57,-0.0169511552235008,0,5,LastHorizonReturn,0.0267364707858563,1129.635999888015,1,1,0,0.0,-0.0169511552235008,-0.0169511552235008,1.00776594666034,1.0078554522243162,5.0
RTSI,2025-12-17,2025-12-24,1081.57,1092.43,0.010040958976303,1,5,LastHorizonReturn,-0.0169511552235008,1063.2361390449182,0,0,1,0.0005,-0.0005,0.010040958976303,1.0072620636870098,1.017975287474144,5.0
RTSI,2025-12-24,2026-01-05,1092.43,1110.29,0.0163488736120391,1,5,LastHorizonReturn,0.010040958976303,1103.3990448144827,1,1,1,0.0005,0.0158488736120391,0.0163488736120391,1.0232260328285867,1.034618036789238,5.0
RTSI,2026-01-05,2026-01-13,1110.29,1077.44,-0.029586864693008,0,5,LastHorizonReturn,0.0163488736120391,1128.441990882711,1,1,0,0.0,-0.029586864693008,-0.029586864693008,0.992951982644924,1.0040069329258092,5.0
RTSI,2026-01-13,2026-01-20,1077.44,1108.33,0.0286698099198097,1,5,LastHorizonReturn,-0.029586864693008,1045.5619285051655,0,0,1,0.0005,-0.0005,0.0286698099198097,0.9924555066536016,1.0327916208509633,5.0
RTSI,2026-01-20,2026-01-27,1108.33,1144.58,0.0327068652838054,1,5,LastHorizonReturn,0.0286698099198097,1140.1056104284226,1,1,1,0.0005,0.0322068652838054,0.0327068652838054,1.024419387456565,1.0665709972603787,5.0
RTSI,2026-01-27,2026-02-03,1144.58,1140.14,-0.0038791521780914,0,5,LastHorizonReturn,0.0327068652838054,1182.015623866538,1,1,0,0.0,-0.0038791521780914,-0.0038791521780914,1.0204455087584339,1.062433606053267,5.0
RTSI,2026-02-03,2026-02-10,1140.14,1108.58,-0.0276808111284581,0,5,LastHorizonReturn,-0.0038791521780914,1135.717223435671,0,0,1,0.0005,-0.0005,-0.0276808111284581,1.0199352860040547,1.0330245820675799,5.0
RTSI,2026-02-10,2026-02-17,1108.58,1135.2,0.0240127009327248,1,5,LastHorizonReturn,-0.0276808111284581,1077.893606399214,0,0,0,0.0,0.0,0.0240127009327248,1.0199352860040547,1.0578302924129217,5.0
